show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Enola Holmes 229,Tim Burton,Chris Hemsworth|Rudhraksh Jaiswal,Germany,3-Mar-21,1995,R,78 min,"Romance, Drama",A compelling story of courage and survival.
s2,Movie,Manifest 617,Martin Scorsese,Henry Cavill|Sam Claflin,Spain,20-Mar-20,2024,PG-13,102 min,"Thriller, Documentaries",An emotional journey of hope and resilience.
s3,TV Show,The Crown 349,Rawson Marshall Thurber,Jenna Ortega|Luis Guzmán,Spain,31-Jul-18,2011,TV-MA,1 Seasons,"Comedy, Thriller",A compelling story of courage and survival.
s4,TV Show,Extraction 748,Álex Pina,Henry Cavill|Sam Claflin,India,6-Dec-20,2014,TV-MA,6 Seasons,"Sci-Fi & Fantasy, Romance",An emotional journey of hope and resilience.
s5,TV Show,Extraction 678,Sam Hargrave,Millie Bobby Brown|Finn Wolfhard,India,23-Jul-16,2004,TV-MA,4 Seasons,"Romance, Action & Adventure",A mystery unfolds with unexpected twists.
s6,TV Show,Dark 215,Harry Bradbeer,Millie Bobby Brown|Finn Wolfhard,India,21-Apr-23,2000,R,3 Seasons,"Thriller, Comedy",A mystery unfolds with unexpected twists.
s7,TV Show,Ozark 864,Martin Scorsese,Úrsula Corberó|Álvaro Morte,United States,5-Dec-19,2010,PG-13,5 Seasons,"Sci-Fi & Fantasy, Drama",A thrilling adventure filled with suspense.
s8,TV Show,Narcos 906,Harry Bradbeer,Lee Jung-jae|Park Hae-soo,United Kingdom,13-Mar-26,2006,TV-14,4 Seasons,"Thriller, Crime",An emotional journey of hope and resilience.
s9,TV Show,Dark 225,Tim Burton,Henry Cavill|Sam Claflin,Japan,16-Dec-23,1995,TV-MA,7 Seasons,"Comedy, Documentaries",A thrilling adventure filled with suspense.
s10,TV Show,Narcos 611,Álex Pina,Henry Cavill|Sam Claflin,South Korea,19-Aug-23,2025,TV-MA,2 Seasons,"Comedy, Crime",An emotional journey of hope and resilience.
s11,TV Show,The Adam Project 446,Tim Burton,Lee Jung-jae|Park Hae-soo,United States,2-Jul-17,2006,R,6 Seasons,"Action & Adventure, Sci-Fi & Fantasy",A compelling story of courage and survival.
s12,TV Show,Dark 781,Tim Burton,Henry Cavill|Sam Claflin,Germany,6-Jun-18,1990,R,4 Seasons,"Crime, Thriller",A compelling story of courage and survival.
s13,Movie,Enola Holmes 60,Sam Hargrave,Chris Hemsworth|Rudhraksh Jaiswal,India,24-Nov-21,2021,TV-MA,121 min,"Action & Adventure, Comedy",A mystery unfolds with unexpected twists.
s14,Movie,The Gray Man 952,The Duffer Brothers,Úrsula Corberó|Álvaro Morte,South Korea,28-Jun-24,2015,PG,108 min,"Documentaries, Sci-Fi & Fantasy",A mystery unfolds with unexpected twists.
s15,Movie,Wednesday 347,Martin Scorsese,Henry Cavill|Sam Claflin,Spain,15-Jan-20,2004,TV-MA,106 min,"Comedy, Crime",A compelling story of courage and survival.
s16,Movie,Ozark 73,The Duffer Brothers,Úrsula Corberó|Álvaro Morte,South Korea,15-Sep-15,2021,TV-14,83 min,"Action & Adventure, Crime",An emotional journey of hope and resilience.
s17,TV Show,The Crown 195,Shawn Levy,Chris Hemsworth|Rudhraksh Jaiswal,France,10-Aug-25,2012,PG-13,4 Seasons,"Romance, Thriller",A compelling story of courage and survival.
s18,Movie,Ozark 820,Shawn Levy,Úrsula Corberó|Álvaro Morte,Spain,12-Jan-24,2002,R,82 min,"Documentaries, Comedy",A mystery unfolds with unexpected twists.
s19,Movie,Enola Holmes 896,Shawn Levy,Lee Jung-jae|Park Hae-soo,Germany,17-May-25,1996,TV-MA,110 min,"Drama, Documentaries",A thrilling adventure filled with suspense.
s20,Movie,Lucifer 219,Joe Russo,Ryan Reynolds|Gal Gadot,United Kingdom,22-Nov-25,2014,TV-MA,127 min,"Romance, Action & Adventure",A mystery unfolds with unexpected twists.
